service_name,total_tc,p0_count,p1_count,p2_count,p3_count,p4_count,p5_count,priority_empty_count,priority_other_count,android_count,ios_count,common_count,web_count,pc_count,os_empty_count,os_other_count,ui_visibility_count,data_change_count,function_behavior_count,permission_auth_count,exception_error_count,network_server_count,notification_count,multi_device_os_count,state_persistence_count,content_media_count,has_precondition_count,automation_candidate_count,manual_required_count
1.가입,296,0,102,0,194,0,0,0,0,2,4,290,0,0,0,0,151,4,54,176,96,16,71,33,17,18,185,180,10
2.친구,112,0,31,44,17,18,2,0,0,2,2,108,0,0,0,0,55,23,11,9,30,14,15,7,16,17,15,74,3
3.프로필,114,0,114,0,0,0,0,0,0,0,0,114,0,0,0,0,16,1,8,19,14,0,13,6,6,52,26,13,0
4.채팅목록,75,0,64,1,10,0,0,0,0,0,0,75,0,0,0,0,44,9,9,1,5,1,32,21,3,12,40,44,0
5.일반채팅,594,0,470,51,73,0,0,0,0,9,10,575,0,0,0,0,271,68,115,24,75,23,78,99,37,273,277,341,22
6.비밀채팅,76,0,74,0,2,0,0,0,0,9,6,61,0,0,0,0,8,3,4,2,16,3,28,6,1,26,26,6,2
7.팀채팅_채팅방,479,0,258,1,220,0,0,0,0,0,1,478,0,0,0,0,242,53,133,50,125,80,32,35,51,119,314,314,0
8.팀채팅_홈상세,141,0,53,37,51,0,0,0,0,0,0,141,0,0,0,0,55,3,10,1,17,7,17,12,13,92,77,36,0
9.숏폼,80,0,73,6,1,0,0,0,0,0,0,80,0,0,0,0,5,0,2,0,1,0,7,1,2,17,17,7,0
10.통화,117,0,106,6,5,0,0,0,0,7,4,106,0,0,0,0,38,19,9,10,17,6,22,14,19,22,12,57,12
11.톡뮤직,80,0,45,35,0,0,0,0,0,5,1,74,0,0,0,0,2,0,15,8,30,1,9,17,10,8,33,14,0
12.이모티콘플러스(+키보드),490,0,256,27,207,0,0,0,0,0,0,488,0,0,2,0,183,9,27,0,20,28,19,28,28,282,211,206,0
13.검색,138,0,133,5,0,0,0,0,0,0,0,138,0,0,0,0,52,2,15,6,5,0,5,0,1,12,9,57,1
14.이모티콘스토어,945,0,166,0,0,0,779,0,0,0,1,943,0,0,1,0,167,6,38,28,53,60,74,31,31,297,437,166,0
15. 알림센터,32,0,28,0,4,0,0,0,0,0,1,31,0,0,0,0,18,7,7,0,4,1,32,4,3,17,24,26,0
16.톡클라우드_연락처,316,0,77,0,239,0,0,0,0,2,6,245,0,0,63,0,50,42,9,8,26,0,32,51,8,11,151,100,0
17.지갑,280,0,111,50,119,0,0,0,0,0,0,278,0,0,2,0,89,8,40,151,93,56,37,23,23,30,143,107,0
18.톡캘린더,274,0,140,118,16,0,0,0,0,1,0,273,0,0,0,0,27,9,2,5,37,17,67,19,34,12,91,16,0
19.톡클라우드_백복(로직),209,0,102,0,107,0,0,0,0,0,1,208,0,0,0,0,52,5,2,11,25,30,16,18,21,50,95,33,0
20.톡클라우드_인물분류,169,0,126,0,6,37,0,0,0,0,0,169,0,0,0,0,77,9,42,1,12,6,52,17,26,91,120,78,0
21.톡클라우드_버티컬(무료),102,0,11,7,12,72,0,0,0,0,0,102,0,0,0,0,36,7,8,0,8,2,17,28,5,77,41,23,0
22.톡클라우드_버티컬(유료),1304,0,148,140,230,784,2,0,0,9,17,1271,0,0,0,7,527,92,140,19,240,46,226,166,73,854,935,482,0
23.죠르디,206,0,149,32,25,0,0,0,0,1,0,205,0,0,0,0,10,10,3,1,13,10,40,29,27,62,44,18,5
24. 더보기,27,0,21,4,2,0,0,0,0,0,0,27,0,0,0,0,14,2,6,3,2,5,5,1,1,1,9,17,0
25. 설정,418,0,321,90,7,0,0,0,0,73,36,309,0,0,0,0,137,31,25,71,70,23,135,107,17,89,132,108,2
26.기타,40,0,39,0,1,0,0,0,0,7,21,12,0,0,0,0,13,2,23,0,2,0,0,5,7,1,2,33,0
27.카나나템플릿,146,0,112,34,0,0,0,0,0,0,0,146,0,0,0,0,26,0,2,6,12,5,23,7,14,123,35,2,0
